,26_Unk,10_cDC,12_CD14.Mono.2,11_CD14.Mono.1,18_Plasma,24_CD8.CM,25_NK,22_CD4.M,21_CD4.N2,23_CD8.EM,09_pDC,20_CD4.N1,19_CD8.N,17_B,14_Unk,13_CD16.Mono
26_Unk,1.0,0.07827424696724361,0.051113447774964536,0.017153606507819903,0.31343611180050684,0.1673823578677671,0.17686901162118626,0.1976636007333736,0.15648464567378384,0.22328958791603282,0.13035960966427987,0.26965670950001136,0.07548187045164495,0.2731545239806824,0.1511452398306203,0.009840268892774076
10_cDC,0.07827424696724361,1.0,0.2912627054071528,0.11327363695837096,0.19390885996838694,0.03305999057313182,0.05994968461560904,0.028677346586530005,0.021933545979320564,0.03969510790172259,0.29633370800624026,0.03752813544967258,0.01042604272940648,0.11381194371612532,0.3980552086962641,0.23576037636408181
12_CD14.Mono.2,0.051113447774964536,0.2912627054071528,1.0,0.3569872778518768,0.07976911466655377,0.034277994182929566,0.06762859179911808,0.023897870902688596,0.015517509042467266,0.03617454891331268,0.13603966103482348,0.026626552217142302,0.008559099086496534,0.045278128884844455,0.21657493674168582,0.3956323914345754
11_CD14.Mono.1,0.017153606507819903,0.11327363695837096,0.3569872778518768,1.0,0.027595668234546195,0.013012006087005984,0.02570164412966301,0.008343416615593204,0.005204076778535192,0.012888131779444596,0.053413317697085794,0.00888942707755257,0.00302725727895279,0.016323382088423224,0.08349115953304351,0.19707282883032073
18_Plasma,0.31343611180050684,0.19390885996838694,0.07976911466655377,0.027595668234546195,1.0,0.08517087033908176,0.11024800432866785,0.10341241523723738,0.09515144128329767,0.1190529117162436,0.2590923345988962,0.1572994829638893,0.04133838805813919,0.36908117847845034,0.29728132970331744,0.06692212515378888
24_CD8.CM,0.1673823578677671,0.03305999057313182,0.034277994182929566,0.013012006087005984,0.08517087033908176,1.0,0.30811963771984335,0.43403576645124686,0.15953820368746735,0.4428559664615086,0.04413290085449613,0.2317366146705628,0.1604409800356566,0.042877078809608817,0.05739113784620883,0.00044963433141747265
25_NK,0.17686901162118626,0.05994968461560904,0.06762859179911808,0.02570164412966301,0.11024800432866785,0.30811963771984335,1.0,0.17897701826481538,0.08790801374141516,0.31688976480712383,0.06728297933489538,0.1372024168778121,0.06457365516644023,0.051798154204969915,0.09503353377538858,0.00024513607886486854
22_CD4.M,0.1976636007333736,0.028677346586530005,0.023897870902688596,0.008343416615593204,0.10341241523723738,0.43403576645124686,0.17897701826481538,1.0,0.3501434943131904,0.43669375016506307,0.048805199773707765,0.479684917669308,0.30118303237680777,0.054737250913567834,0.05511413627760417,0.0002086899824312219
21_CD4.N2,0.15648464567378384,0.021933545979320564,0.015517509042467266,0.005204076778535192,0.09515144128329767,0.15953820368746735,0.08790801374141516,0.3501434943131904,1.0,0.21311912590744075,0.04458586418332728,0.5410143757888846,0.38642679330722285,0.061210267919195975,0.04398532454475978,5.106646766314669e-05
23_CD8.EM,0.22328958791603282,0.03969510790172259,0.03617454891331268,0.012888131779444596,0.1190529117162436,0.4428559664615086,0.31688976480712383,0.43669375016506307,0.21311912590744075,1.0,0.05970374238296501,0.31252070712037705,0.15300039460246054,0.05647403858599906,0.07294688841002298,0.00011224085999790005
09_pDC,0.13035960966427987,0.29633370800624026,0.13603966103482348,0.053413317697085794,0.2590923345988962,0.04413290085449613,0.06728297933489538,0.048805199773707765,0.04458586418332728,0.05970374238296501,1.0,0.07322010461997054,0.01916363001462938,0.23220184800040608,0.34402238780182165,0.06939573446598414
20_CD4.N1,0.26965670950001136,0.03752813544967258,0.026626552217142302,0.00888942707755257,0.1572994829638893,0.2317366146705628,0.1372024168778121,0.479684917669308,0.5410143757888846,0.31252070712037705,0.07322010461997054,1.0,0.33378751747691937,0.08958070322109361,0.07493869851839685,9.135787639522261e-05
19_CD8.N,0.07548187045164495,0.01042604272940648,0.008559099086496534,0.00302725727895279,0.04133838805813919,0.1604409800356566,0.06457365516644023,0.30118303237680777,0.38642679330722285,0.15300039460246054,0.01916363001462938,0.33378751747691937,1.0,0.02521307880282074,0.020413314027266136,0.00011727838334133369
17_B,0.2731545239806824,0.11381194371612532,0.045278128884844455,0.016323382088423224,0.36908117847845034,0.042877078809608817,0.051798154204969915,0.054737250913567834,0.061210267919195975,0.05647403858599906,0.23220184800040608,0.08958070322109361,0.02521307880282074,1.0,0.17964287855476163,0.02523501168023089
14_Unk,0.1511452398306203,0.3980552086962641,0.21657493674168582,0.08349115953304351,0.29728132970331744,0.05739113784620883,0.09503353377538858,0.05511413627760417,0.04398532454475978,0.07294688841002298,0.34402238780182165,0.07493869851839685,0.020413314027266136,0.17964287855476163,1.0,0.3975375665340912
04_Early.Baso,0.4038434615396655,0.2369891087933493,0.22231933327505274,0.07590068008615074,0.3625165166485967,0.27591817374002137,0.4923714270592532,0.21418817989156452,0.13656891578466895,0.3187559052389257,0.26402060353101314,0.23151866925532782,0.0764712965744191,0.16379251717795865,0.3835367401067353,0.0
13_Unk,0.3626746326326201,0.3418625243096651,0.2692423346837157,0.08867417526657118,0.42088956265462235,0.19068868214902768,0.3330169278577963,0.16238726807289947,0.11356933275932181,0.23092638730486917,0.3750769219571544,0.19554033438604776,0.05815571980401236,0.20935719215881085,0.5638239633489949,0.22414120634336607
