,Podo,Stroma 1,Immune,NP,Stroma 2,PST,IC,PCT,PC,LOH,Endo,DCT,Early PT,Proliferating
Podo,1.0,0.24886317214294734,0.2143378302397878,0.30975085661833623,0.3489583913411548,0.13953415591353927,0.11092934045126127,0.2719838331207459,0.22834813489443956,0.3015514185637056,0.44516971615392287,0.14522526325735163,0.16164349310807927,0.4347451358319374
Stroma 1,0.24886317214294734,1.0,0.17779948728271713,0.3271660268986255,0.3414900392333595,0.08062533089784889,0.07126134010273374,0.14676892445058307,0.14997282692546118,0.2249313070988232,0.3315262280246809,0.0943651336434489,0.07459141020794316,0.3599070199444777
Immune,0.2143378302397878,0.17779948728271713,1.0,0.12559370692403932,0.2581188907168107,0.05447812901461592,0.14926501591010383,0.07346068256815805,0.2329400347984278,0.4573596866776414,0.19382242980774012,0.328519526544202,0.15269647349457607,0.17625615667685124
NP,0.30975085661833623,0.3271660268986255,0.12559370692403932,1.0,0.2607325881214539,0.2501045630062428,0.15053485009879786,0.44652286377292927,0.3016479134993149,0.2869520964429495,0.1965955788997435,0.12859529053149063,0.2087863767746447,0.5124528975702537
Stroma 2,0.3489583913411548,0.3414900392333595,0.2581188907168107,0.2607325881214539,1.0,0.10530941065904446,0.10564125310875605,0.17209485043460127,0.24149653455714598,0.28315567863226626,0.3377240020977097,0.16626830514122223,0.2547883855084983,0.6387044290268666
PST,0.13953415591353927,0.08062533089784889,0.05447812901461592,0.2501045630062428,0.10530941065904446,1.0,0.1966980724253857,0.5027264403529615,0.22817138627074557,0.1242071478975254,0.0613985199299632,0.09857011639876415,0.3710973633660691,0.1851893597262366
IC,0.11092934045126127,0.07126134010273374,0.14926501591010383,0.15053485009879786,0.10564125310875605,0.1966980724253857,1.0,0.1564579745089435,0.45932251034256194,0.2724893468992644,0.06364928876123514,0.38225395250448646,0.4028529355908535,0.11461518763469333
PCT,0.2719838331207459,0.14676892445058307,0.07346068256815805,0.44652286377292927,0.17209485043460127,0.5027264403529615,0.1564579745089435,1.0,0.24908230888543673,0.16217066281245707,0.1148452581766357,0.10337274638205399,0.32527124094083854,0.32579657948537327
PC,0.22834813489443956,0.14997282692546118,0.2329400347984278,0.3016479134993149,0.24149653455714598,0.22817138627074557,0.45932251034256194,0.24908230888543673,1.0,0.5003461270356262,0.13439424360822,0.4186145308100486,0.4950617682469656,0.27051533259275923
LOH,0.3015514185637056,0.2249313070988232,0.4573596866776414,0.2869520964429495,0.28315567863226626,0.1242071478975254,0.2724893468992644,0.16217066281245707,0.5003461270356262,1.0,0.2129918982096296,0.42355548568765927,0.24003260063652757,0.25629016151296746
Endo,0.44516971615392287,0.3315262280246809,0.19382242980774012,0.1965955788997435,0.3377240020977097,0.0613985199299632,0.06364928876123514,0.1148452581766357,0.13439424360822,0.2129918982096296,1.0,0.09849972526695835,0.09399737977750502,0.30427264731036946
DCT,0.14522526325735163,0.0943651336434489,0.328519526544202,0.12859529053149063,0.16626830514122223,0.09857011639876415,0.38225395250448646,0.10337274638205399,0.4186145308100486,0.42355548568765927,0.09849972526695835,1.0,0.31795517321520994,0.1683079264200434
CNT,0.09363146775926191,0.16056829342814063,0.21326915682399275,0.23502617248552962,0.08340222652966002,0.13494441723652706,0.45105137988832517,0.1323686643588443,0.5141924426698817,0.47556507880755206,0.06873822777396642,0.5479096446374626,0.2143838629271833,0.11565723790000026
